"FUA","month","days","monthlyE","dailyE","meanDailyE","sdDailyE","cvDailyE"
"AL004L1","Oct","31","8.68488393895157e-06","2.84952321475242e-07","5.82141252068974e-12","1.1522058782421e-11","197.925481856349"
"AL004L1","Nov","30","1.01897898892598e-05","3.4608199356153e-07","7.07025666635743e-12","1.52650535395956e-11","215.90522466082"
"AL004L1","Dec","31","1.48251748634731e-05","4.88784222897207e-07","9.98558137852063e-12","2.66678760721868e-11","267.063829949355"
"AL005L0","Jan","31","7253.43182702499","242.166334260215","0.0105509905132544","1.06804531745971","10122.7019028972"
"AL005L0","Feb","29","7253.77344064127","258.879634967198","0.0112791754516904","1.14176161225317","10122.7400632557"
"AL005L0","Mar","31","6739.94470495439","225.077671142786","0.0098064513394382","0.986764585180623","10062.4023005365"
"AL005L0","Apr","30","6355.90771745997","219.373607723797","0.00955792992871197","0.956937863148161","10011.9782242128"
"AL005L0","May","31","6458.71875248718","215.718565068359","0.00939868268858307","0.94230888478296","10025.9676382906"
"AL005L0","Jun","30","6587.67346439872","227.343797767504","0.00990518463608854","0.994777514643927","10042.9981993425"
"AL005L0","Jul","31","6818.10644775343","227.678871234452","0.00991978351492038","0.99912834276335","10072.0780978794"
"AL005L0","Aug","31","6777.48895505388","226.327106554734","0.00986088822563321","0.9927028510562","10067.0733542612"
"AL005L0","Sep","30","6570.8187280462","226.764188849456","0.00987993154624678","0.992024551660604","10040.8038964345"
"AL005L0","Oct","31","6760.01928960631","225.745758138135","0.00983555934725232","0.989939739495548","10064.9053556075"
"AL005L0","Nov","30","6740.37805440967","232.595148176075","0.0101339817086126","1.01972747391666","10062.4562312958"
"AL005L0","Dec","31","7005.57178048753","233.91764841839","0.0101916019701285","1.02879496584302","10094.5363531504"
"AT001L2","Jan","31","1497000.49994374","50039.3304613896","0.076656674093542","23.7504550032431","30982.8925975332"
"AT001L2","Feb","29","1608355.43744759","57451.7442866793","0.0880119617365318","27.4888915391413","31233.1312662144"
"AT001L2","Mar","31","1386206.54761941","46351.6854986655","0.0710074658512704","21.7815030641443","30674.9477720653"
"AT001L2","Apr","30","1220630.51816525","42202.3495849643","0.0646509801047905","19.498517895143","30159.6632619312"
"AT001L2","May","31","1102878.26379788","36922.3417697411","0.0565623859015723","16.8224341153524","29741.3799775459"
"AT001L2","Jun","30","1103168.36611528","38163.023903677","0.0584630221634461","17.3879740519159","29741.8323727844"
"AT001L2","Jul","31","1097840.97057382","36754.7810895792","0.0563056949280594","16.7377187031601","29726.5111895795"
"AT001L2","Aug","31","1154804.55440393","38650.5696151052","0.0592099073108302","17.7255274090788","29936.75925893"
"AT001L2","Sep","30","1193197.86433791","41258.9637212272","0.0632057804581496","19.0015733630203","30063.0309843288"
"AT001L2","Oct","31","1353261.59262891","45254.6360513012","0.0693268645887097","21.1809038524644","30552.2310551945"
"AT001L2","Nov","30","1418538.49126979","49008.4141736529","0.0750773840998892","23.0876590886724","30751.8160967818"
"AT001L2","Dec","31","1576144.40512489","52673.0564192965","0.0806913538253732","25.1408434702125","31156.7996797038"
"AT002L2","Jan","31","608123.947855264","20514.9795985809","0.133202043960815","36.6997100195858","27551.9120640386"
"AT002L2","Feb","29","640718.000538767","23089.3305562069","0.149917089071168","41.8551651042244","27918.8752686861"
"AT002L2","Mar","31","575434.367962866","19427.0565414106","0.126138250687668","34.2795100884576","27176.1419724594"
"AT002L2","Apr","30","526784.48138602","18401.5920799403","0.119479995844146","31.8204545243839","26632.4536585118"
"AT002L2","May","31","492330.783970464","16661.3835435212","0.108180967597239","28.431036355348","26280.9965438631"
"AT002L2","Jun","30","492406.75221947","17219.3757354361","0.111803964155441","29.3840697812282","26281.7781133194"
"AT002L2","Jul","31","490892.537061659","16613.5220429584","0.10787020688352","28.3352061149417","26267.8703727143"
"AT002L2","Aug","31","507571.585096078","17168.5917946897","0.111474228282427","29.4636977290621","26430.9501694096"
"AT002L2","Sep","30","518725.782401944","18124.4558556362","0.117680573555886","31.2393692822124","26545.9016201828"
"AT002L2","Oct","31","565478.214235165","19095.6917453428","0.123986726825761","33.5498761462636","27059.2481995361"
"AT002L2","Nov","30","584804.96912592","20396.8597967147","0.132435101982383","36.1301990016787","27281.4370668019"
"AT002L2","Dec","31","631212.496691165","21283.3506220175","0.138191012648314","38.4331095694638","27811.5840045786"
"AT003L2","Jan","31","780247.857741557","26903.4048400614","0.124586830847599","57.8858229765003","46462.2324708694"
"AT003L2","Feb","29","781298.383805668","28796.1834619941","0.133352089052075","61.9580043005125","46461.9675184221"
"AT003L2","Mar","31","779244.577196251","26869.9989242982","0.124432131574357","57.8105557261253","46459.5076807628"
